TRX DATE,TRX NUMBER,SALES CHANNEL,CUSTOMER NUMBER,ORG Name,Type,Month,Year,ORG,ITEM CODE,FRANCHISE,ITEM DESC,FAMILY,CLASS,SUBCLASS,UIS TYPE,QUANTITY,Unit Price,Discount Amount,Discount Amount(%),Net Amount,Vat Amount,TOTAL AMOUNT
2023-07-04,2311041359,REEM,3032,,INV,JUL,2023,EAC,WWS30G22I,WHITE WESTINGHOUSE,Indoor Split A/C 27400 BTU Cool,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,1803.91,0.0,0.0,1803.91,270.59,2074.5
2023-07-04,2311041365,RECA,7233,,INV,JUL,2023,EAC,DA20K23R,DORA,Window A/C 18000 BTU Cool Hi-EER Class F R410A,HVPAC,WAC,WAC ROTARY,0-Month,1,1260.0,-43.48,3.45,1216.52,182.47,1398.99
2023-07-04,2311041408,RECA,7233,,INV,JUL,2023,EAC,EK-EEWA7300AR,ELECTROLUX,KETTLE 2400W 1.7L  STAINLESS STEEL,SDA,LHA,ELECTRIC KETTLE,0-Month,1,260.0,-259.97,99.99,0.03,0.0,0.03
2023-07-05,2321016028,REEM,3029,,INV,JUL,2023,TPC,65QNED806QA,LG,"LG QNED 4K Smart TV 65"" Series80, a7 Gen5 4K Proc, HGiG FSG",CE,LCD/LED TV,LED TV,0-Month,1,4347.0,0.0,0.0,4347.0,652.05,4999.05
2023-07-05,2311041534,RECA,7233,,INV,JUL,2023,EAC,EK-EEWA7300AR,ELECTROLUX,KETTLE 2400W 1.7L  STAINLESS STEEL,SDA,LHA,ELECTRIC KETTLE,0-Month,1,260.0,-259.97,99.99,0.03,0.0,0.03
2023-07-06,2311041621,RECA,7233,,INV,JUL,2023,EAC,WWS18G22C,WHITE WESTINGHOUSE,Outdoor Split A/C 17800 BTU Cool,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,9,1130.0,0.0,0.0,10170.0,1525.5,11695.5
2023-07-06,2311041621,RECA,7233,,INV,JUL,2023,EAC,WWS18G22I,WHITE WESTINGHOUSE,Indoor Split A/C 17800 BTU Cool,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,9,1130.0,0.0,0.0,10170.0,1525.5,11695.5
2023-07-09,2311041961,RECA,7233,,INV,JUL,2023,EAC,E7TS1-60BP,ELECTROLUX,"Toaster, Black - Explore 7",SDA,LHA,TOASTER,0-Month,1,303.48,-303.45,99.99,0.03,0.01,0.04
2023-07-12,2321016345,REUI,7561,,INV,JUL,2023,TPC,MM-EG34PB(BK),TOSHIBA,"34L GRILL MICROWAVE, DIGITAL, STEEL, 220V, 60HZ - Black",SDA,MICROWAVE,GRILL,0-Month,1,607.83,-130.44,21.46,477.39,71.61,549.0
2023-07-11,2311042182,RECO,7183,,INV,JUL,2023,EAC,PIPE-30,WHITE WESTINGHOUSE,5 Meter copper pipe for 30K Split AC,HVPAC,ACCESSORIES,PIPE,0-Month,1,0.01,0.0,0.0,0.01,0.01,0.02
2023-07-11,2318002180,REUI,7561,,CM,JUL,2023,EAC,WWFL9VS10,WHITE WESTINGHOUSE,"FL WASHER 10KG, BLDC INVERTER, WITH PUMP, 1600RPM SILVER",HA,LAUNDRY,FA FRONT LOADING,0-Month,-1,2086.09,260.87,12.51,-1825.22,-273.78,-2099.0
2023-07-13,2311042411,RECA,7233,,INV,JUL,2023,EAC,PIPE V-12/18,WHITE WESTINGHOUSE,4 Meter copper pipe for 12K/18K Split AC,HVPAC,ACCESSORIES,PIPE,0-Month,1,0.01,0.0,0.0,0.01,0.01,0.02
2023-07-15,2311042487,REUI,7596,,INV,JUL,2023,EAC,WWFLD10VW08,WHITE WESTINGHOUSE,"FRONT LOAD CONDENSOR DRYER 8KG, WITH PUMP",HA,LAUNDRY A,DRYER,0-Month,1,1738.26,-347.83,20.01,1390.43,208.56,1598.99
2023-07-15,2311042527,RECA,7233,,INV,JUL,2023,EAC,EO-42NK-3,SHARP,E. Oven 42L 1800W Rotisserie,SDA,LHA,DEEP FRYER,0-Month,1,520.87,-104.35,20.03,416.52,62.48,479.0
2023-07-16,2311042931,RECA,7233,,INV,JUL,2023,EAC,R-77AS(ST),SHARP,"34L GRILL MICROWAVE, STEEL, 220V/60HZ - Stainless Steel",SDA,MICROWAVE,BASIC,0-Month,1,607.83,-43.48,7.15,564.35,84.65,649.0
2023-07-16,2311042928,RECA,7233,,INV,JUL,2023,EAC,PIPE V-12/18,WHITE WESTINGHOUSE,4 Meter copper pipe for 12K/18K Split AC,HVPAC,ACCESSORIES,PIPE,0-Month,1,0.01,0.0,0.0,0.01,0.01,0.02
2023-07-16,2311042886,RECA,7233,,INV,JUL,2023,EAC,WWR9VS650,WHITE WESTINGHOUSE,Fridge 22.96 Cu Ft/650 Ltr SS Inverter Compressor,HA,REFRIGERATORS,TOP MOUNT,0-Month,1,3738.26,-695.65,18.61,3042.61,456.39,3499.0
2023-07-18,2311043055,RECA,7233,,INV,JUL,2023,EAC,PIPE-36,WHITE WESTINGHOUSE,5 Meter copper pipe for 36K Split AC,HVPAC,ACCESSORIES,PIPE,0-Month,1,0.01,0.0,0.0,0.01,0.01,0.02
2023-07-19,2311043270,RECA,7233,,INV,JUL,2023,EAC,AU-A18ATS,SHARP,Outdoor Split A/C 18000 BTU Cool HI-EER Class D R410A.,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,3,1064.78,-65.22,2.04,3129.12,469.37,3598.49
2023-07-19,2311043475,REUI,7596,,INV,JUL,2023,EAC,WWRAK560(S),WHITE WESTINGHOUSE,"Fridge 19.9 CuFt, 564 Ltr, Inverter, R600a, Silver",HA,REFRIGERATORS,TOP MOUNT,0-Month,1,2868.69,-608.69,21.22,2260.0,339.0,2599.0
2023-07-21,2311043560,RECA,7233,,INV,JUL,2023,EAC,WWFLD10VW08,WHITE WESTINGHOUSE,"FRONT LOAD CONDENSOR DRYER 8KG, WITH PUMP",HA,LAUNDRY A,DRYER,0-Month,1,1738.26,-347.83,20.01,1390.43,208.56,1598.99
2023-07-22,2311043568,RECA,7233,,INV,JUL,2023,EAC,DRAMS400,DORA,"14.5 CuFt, 410L Fridge 230V 60HZ - R600a, Black",HA,REFRIGERATORS,TOP MOUNT,0-Month,1,1912.17,-86.95,4.55,1825.22,273.78,2099.0
2023-07-22,2321017125,RECA,4207,,INV,JUL,2023,TPC,TBA-24BMG4G089KS-SA,TOSHIBA,"Gas Cooker 60x60, 4 burner, Auto Ignition & Oven Light - SS",HA,COOKING RANGE,GAS COOKER,0-Month,1,1129.57,-112.96,10.0,1016.61,152.49,1169.1
